id;nombre;apellido;telefono;direccion;edad;SQL
1;Missy;Torre;9233272400;Johnson;34;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (1, 'Missy', 'Torre', '9233272400', 'Johnson', 34);"
2;Gerrilee;McOnie;7847635894;Orin;24;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (2, 'Gerrilee', 'McOnie', '7847635894', 'Orin', 24);"
3;Jilli;Silverthorne;6609800115;Saint Paul;57;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (3, 'Jilli', 'Silverthorne', '6609800115', 'Saint Paul', 57);"
4;Suki;Cockrill;9392651034;Buell;22;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (4, 'Suki', 'Cockrill', '9392651034', 'Buell', 22);"
5;Kinna;Frisch;4079758213;Mayer;52;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (5, 'Kinna', 'Frisch', '4079758213', 'Mayer', 52);"
6;Nanine;Petkens;5682046649;Morrow;45;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (6, 'Nanine', 'Petkens', '5682046649', 'Morrow', 45);"
7;Brock;Luter;5517964034;Merchant;32;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (7, 'Brock', 'Luter', '5517964034', 'Merchant', 32);"
8;Sholom;Figura;2492040947;Pierstorff;64;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (8, 'Sholom', 'Figura', '2492040947', 'Pierstorff', 64);"
9;Emilio;Sancias;9405965530;Schurz;22;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (9, 'Emilio', 'Sancias', '9405965530', 'Schurz', 22);"
10;Noami;Syddie;3573431244;4th;47;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (10, 'Noami', 'Syddie', '3573431244', '4th', 47);"
11;Irvin;Cherm;4864607582;Boyd;63;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (11, 'Irvin', 'Cherm', '4864607582', 'Boyd', 63);"
12;Maryjo;Laurance;1485923789;Hanover;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (12, 'Maryjo', 'Laurance', '1485923789', 'Hanover', 20);"
13;Andy;Schoroder;8437093463;Cody;33;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (13, 'Andy', 'Schoroder', '8437093463', 'Cody', 33);"
14;Amerigo;Ashingden;1683992380;Barby;33;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (14, 'Amerigo', 'Ashingden', '1683992380', 'Barby', 33);"
15;Flossy;Penas;7032451216;Pierstorff;31;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (15, 'Flossy', 'Penas', '7032451216', 'Pierstorff', 31);"
16;Eliza;Mowbray;3132696279;Burning Wood;57;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (16, 'Eliza', 'Mowbray', '3132696279', 'Burning Wood', 57);"
17;Nollie;Towll;8601296950;Lindbergh;55;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (17, 'Nollie', 'Towll', '8601296950', 'Lindbergh', 55);"
18;Nealy;Culpan;8207160557;Gateway;53;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (18, 'Nealy', 'Culpan', '8207160557', 'Gateway', 53);"
19;Violetta;Duke;5111115374;Sachs;60;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (19, 'Violetta', 'Duke', '5111115374', 'Sachs', 60);"
20;Neel;Wyon;4805823791;Golf;52;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (20, 'Neel', 'Wyon', '4805823791', 'Golf', 52);"
21;Gun;Rennox;6298250168;Pierstorff;37;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (21, 'Gun', 'Rennox', '6298250168', 'Pierstorff', 37);"
22;Kaylyn;Firby;5623053541;Continental;22;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (22, 'Kaylyn', 'Firby', '5623053541', 'Continental', 22);"
23;Waiter;Dies;1781139445;Vahlen;61;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (23, 'Waiter', 'Dies', '1781139445', 'Vahlen', 61);"
24;Fern;Lambarth;1306429175;8th;51;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (24, 'Fern', 'Lambarth', '1306429175', '8th', 51);"
25;Jana;O Corrane;1969277982;1st;55;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (25, 'Jana', 'O Corrane', '1969277982', '1st', 55);"
26;Welch;Niemetz;3081154512;Lake View;59;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (26, 'Welch', 'Niemetz', '3081154512', 'Lake View', 59);"
27;Rina;Scouse;2095922786;Tomscot;36;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (27, 'Rina', 'Scouse', '2095922786', 'Tomscot', 36);"
28;Royal;Pisculli;9176394521;Eastlawn;43;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (28, 'Royal', 'Pisculli', '9176394521', 'Eastlawn', 43);"
29;Aurea;Enoksson;1658342961;Elgar;57;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (29, 'Aurea', 'Enoksson', '1658342961', 'Elgar', 57);"
30;Janifer;Bahde;7762306476;Hooker;65;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (30, 'Janifer', 'Bahde', '7762306476', 'Hooker', 65);"
31;Tallia;Gumley;5539370832;Center;64;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (31, 'Tallia', 'Gumley', '5539370832', 'Center', 64);"
32;Clemmie;McLaverty;3615597151;Dorton;59;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (32, 'Clemmie', 'McLaverty', '3615597151', 'Dorton', 59);"
33;Christabella;Kisby;6977000491;Clyde Gallagher;70;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (33, 'Christabella', 'Kisby', '6977000491', 'Clyde Gallagher', 70);"
34;Emmalee;Shellshear;7749411826;Gerald;23;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (34, 'Emmalee', 'Shellshear', '7749411826', 'Gerald', 23);"
35;Fran;McKoy;9035944123;Westerfield;57;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (35, 'Fran', 'McKoy', '9035944123', 'Westerfield', 57);"
36;Mitchell;Ringer;1084614903;Towne;51;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (36, 'Mitchell', 'Ringer', '1084614903', 'Towne', 51);"
37;Lorelei;MacArthur;2376872263;Oakridge;37;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (37, 'Lorelei', 'MacArthur', '2376872263', 'Oakridge', 37);"
38;Ericka;Thomen;8937795463;Straubel;41;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (38, 'Ericka', 'Thomen', '8937795463', 'Straubel', 41);"
39;Nikoletta;Devil;8093285550;Walton;53;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (39, 'Nikoletta', 'Devil', '8093285550', 'Walton', 53);"
40;Giacinta;Cattemull;1335812321;Emmet;35;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (40, 'Giacinta', 'Cattemull', '1335812321', 'Emmet', 35);"
41;Abbye;Crommett;1759162850;Rigney;61;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (41, 'Abbye', 'Crommett', '1759162850', 'Rigney', 61);"
42;Flinn;Broom;7388951957;Oakridge;43;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (42, 'Flinn', 'Broom', '7388951957', 'Oakridge', 43);"
43;Alison;Hyatt;7446445465;Linden;67;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (43, 'Alison', 'Hyatt', '7446445465', 'Linden', 67);"
