id;password;is_superuser;username;is_staff;is_active;date_joined;first_name;last_name;email;SQL
1;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;oeastes0;0;1;16/12/2004;Ole;Eastes;oeastes0@typepad.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (1, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'oeastes0', '0', '1', '2004-12-16', 'Ole', 'Eastes', 'oeastes0@typepad.com');"
2;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;mshotboult1;0;1;29/5/2016;Marnie;Shotboult;mshotboult1@amazon.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (2, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'mshotboult1', '0', '1', '2016-05-29', 'Marnie', 'Shotboult', 'mshotboult1@amazon.com');"
3;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;jharnott2;0;1;29/5/2019;Judd;Harnott;jharnott2@ihg.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (3, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'jharnott2', '0', '1', '2019-05-29', 'Judd', 'Harnott', 'jharnott2@ihg.com');"
4;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;jangelini3;0;1;28/1/2016;Jilli;Angelini;jangelini3@aboutads.info;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (4, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'jangelini3', '0', '1', '2016-01-28', 'Jilli', 'Angelini', 'jangelini3@aboutads.info');"
5;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;ahampe4;0;1;20/7/2010;Andrei;Hampe;ahampe4@w3.org;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (5, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'ahampe4', '0', '1', '2010-07-20', 'Andrei', 'Hampe', 'ahampe4@w3.org');"
6;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;fmcphaden5;0;1;13/3/2019;Foster;McPhaden;fmcphaden5@europa.eu;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (6, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'fmcphaden5', '0', '1', '2019-03-13', 'Foster', 'McPhaden', 'fmcphaden5@europa.eu');"
7;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;mschermick6;0;1;28/6/2007;Malinde;Schermick;mschermick6@com.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (7, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'mschermick6', '0', '1', '2007-06-28', 'Malinde', 'Schermick', 'mschermick6@com.com');"
8;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;rvousden7;0;1;5/1/2020;Rickard;Vousden;rvousden7@infoseek.co.jp;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (8, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'rvousden7', '0', '1', '2020-01-05', 'Rickard', 'Vousden', 'rvousden7@infoseek.co.jp');"
9;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;gchallener8;0;1;25/3/2025;Gavrielle;Challener;gchallener8@oaic.gov.au;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (9, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'gchallener8', '0', '1', '2025-03-25', 'Gavrielle', 'Challener', 'gchallener8@oaic.gov.au');"
10;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;rknuckles9;0;1;20/11/2020;Ruy;Knuckles;rknuckles9@pbs.org;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (10, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'rknuckles9', '0', '1', '2020-11-20', 'Ruy', 'Knuckles', 'rknuckles9@pbs.org');"
11;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;lchaneya;0;1;12/11/2013;Lona;Chaney;lchaneya@state.tx.us;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (11, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'lchaneya', '0', '1', '2013-11-12', 'Lona', 'Chaney', 'lchaneya@state.tx.us');"
12;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;jjemmisonb;0;1;11/3/2012;Jasmin;Jemmison;jjemmisonb@wsj.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (12, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'jjemmisonb', '0', '1', '2012-03-11', 'Jasmin', 'Jemmison', 'jjemmisonb@wsj.com');"
13;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;jreglerc;0;1;12/11/2015;Jerome;Regler;jreglerc@issuu.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (13, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'jreglerc', '0', '1', '2015-11-12', 'Jerome', 'Regler', 'jreglerc@issuu.com');"
14;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;dcrudged;0;1;12/9/2024;Donelle;Crudge;dcrudged@sfgate.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (14, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'dcrudged', '0', '1', '2024-09-12', 'Donelle', 'Crudge', 'dcrudged@sfgate.com');"
15;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;wroskelleye;0;1;26/9/2023;Worth;Roskelley;wroskelleye@facebook.com;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (15, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'wroskelleye', '0', '1', '2023-09-26', 'Worth', 'Roskelley', 'wroskelleye@facebook.com');"
16;pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=;0;aigglesdenf;0;1;7/5/2022;Ariadne;Igglesden;aigglesdenf@princeton.edu;"INSERT INTO auth_user (id, password, is_superuser, username,is_staff, is_active, date_joined, first_name, last_name, email) VALUES (16, 'pbkdf2_sha256$1000000$3eAJWYexi7ZS5oWnsRJGFc$IxT8/bcc79x/gXzTo/MF86/C6y99yD6zAZILGpQ9VCU=', '0', 'aigglesdenf', '0', '1', '2022-05-07', 'Ariadne', 'Igglesden', 'aigglesdenf@princeton.edu');"
